team,year,name,country,state,district,rookie_year,district_points,district_rank,epa.total_points.mean,epa.total_points.sd,epa.unitless,epa.norm,epa.conf,epa.breakdown.total_points,epa.breakdown.auto_points,epa.breakdown.teleop_points,epa.breakdown.endgame_points,epa.breakdown.energized_rp,epa.breakdown.supercharged_rp,epa.breakdown.traversal_rp,epa.breakdown.tiebreaker_points,epa.breakdown.auto_fuel,epa.breakdown.auto_tower,epa.breakdown.transition_fuel,epa.breakdown.first_shift_fuel,epa.breakdown.second_shift_fuel,epa.breakdown.teleop_fuel,epa.breakdown.endgame_fuel,epa.breakdown.endgame_tower,epa.breakdown.total_fuel,epa.breakdown.total_tower,epa.breakdown.rp_1,epa.breakdown.rp_2,epa.breakdown.rp_3,epa.stats.start,epa.stats.pre_champs,epa.stats.max,epa.ranks.total.rank,epa.ranks.total.percentile,epa.ranks.total.team_count,epa.ranks.country.rank,epa.ranks.country.percentile,epa.ranks.country.team_count,epa.ranks.state.rank,epa.ranks.state.percentile,epa.ranks.state.team_count,epa.ranks.district.rank,epa.ranks.district.percentile,epa.ranks.district.team_count,record.wins,record.losses,record.ties,record.count,record.winrate,competing.this_week,competing.next_event_key,competing.next_event_name,competing.next_event_week
1014,2026,Bad Robots,USA,OH,,2003,,,57.71,12.3,1537.0,1525.0,"[-0.82, 0.96]",57.71,10.33,38.63,8.74,0.3734,-0.2388,-0.33757,57.71,10.34,-0.01,3.75,20.4,14.49,38.63,8.06,0.68,57.04,0.67,0.3734,-0.2388,-0.33757,36.62,57.71,57.71,1166,0.6869,3724,970,0.6705,2944,18,0.7,60,418,0.7405,1611,10,14,0,24,0.4167,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
1259,2026,Paradigm Shift,USA,WI,win,2004,252.0,6.0,140.13,27.36,1756.0,1664.0,"[-0.93, 0.83]",140.13,20.89,82.04,37.2,0.6646,0.0743,-0.34003,140.13,20.95,-0.07,6.67,39.93,35.45,82.04,36.49,0.72,139.48,0.65,0.6646,0.0743,-0.34003,52.31,140.13,151.89,261,0.9299,3724,222,0.9246,2944,4,0.9437,71,4,0.9437,71,37,13,0,50,0.74,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
1287,2026,Aluminum Assault,USA,SC,fsc,2004,285.0,4.0,83.53,17.43,1605.0,1573.0,"[-0.76, 0.99]",83.53,18.78,47.84,16.91,0.2705,-0.24,-0.34003,83.53,18.8,-0.02,4.79,23.9,19.16,47.84,16.85,0.06,83.49,0.04,0.2705,-0.24,-0.34003,56.27,83.53,84.44,723,0.8059,3724,605,0.7945,2944,4,0.8947,38,4,0.8947,38,40,9,0,49,0.8163,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
1296,2026,Full Metal Jackets,USA,TX,fit,2004,251.0,10.0,144.35,29.5,1767.0,1669.0,"[-0.88, 0.87]",144.35,26.34,88.68,29.33,0.6099,0.0389,-0.3403,144.35,26.63,-0.29,5.3,44.04,39.34,88.68,28.61,0.72,143.92,0.43,0.6099,0.0389,-0.3403,65.09,144.35,154.04,235,0.9369,3724,199,0.9324,2944,13,0.9222,167,13,0.9274,179,34,17,0,51,0.6667,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
1625,2026,Winnovation,USA,IL,,2005,,,123.62,14.79,1712.0,1645.0,"[-0.76, 1.0]",123.62,29.06,66.14,28.41,0.6149,-0.0722,-0.33789,123.62,29.51,-0.44,4.5,34.23,27.41,66.14,28.52,-0.11,124.17,-0.55,0.6149,-0.0722,-0.33789,68.22,123.62,123.81,360,0.9033,3724,301,0.8978,2944,9,0.8364,55,104,0.9354,1611,19,12,0,31,0.6129,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
1701,2026,Robocubs,USA,MI,fim,2005,291.0,12.0,167.6,20.62,1829.0,1705.0,"[-0.91, 0.84]",167.6,43.6,91.19,32.81,0.6371,0.2601,-0.34068,167.6,42.46,1.15,3.41,56.34,31.45,91.19,32.8,0.01,166.45,1.16,0.6371,0.2601,-0.34068,91.72,167.6,172.9,143,0.9616,3724,115,0.9609,2944,21,0.9604,530,21,0.9604,530,43,15,0,58,0.7414,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
1706,2026,Ratchet Rockers,USA,MO,,2005,,,211.2,21.85,1946.0,1782.0,"[-0.89, 0.88]",211.2,36.28,128.33,46.59,0.7782,-0.0067,-0.33775,211.2,34.66,1.61,11.21,64.77,52.34,128.33,44.61,1.98,207.6,3.6,0.7782,-0.0067,-0.33775,113.3,211.2,218.77,46,0.9876,3724,35,0.9881,2944,3,0.9538,65,15,0.9907,1611,31,0,0,31,1.0,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
1710,2026,The Ravonics Revolution,USA,KS,,2006,,,148.91,25.89,1780.0,1674.0,"[-0.85, 0.93]",148.91,29.2,84.35,35.36,0.6356,-0.0287,-0.33771,148.91,29.7,-0.51,9.01,40.52,34.81,84.35,34.94,0.42,148.99,-0.08,0.6356,-0.0287,-0.33771,64.89,148.91,155.74,208,0.9441,3724,172,0.9416,2944,1,0.9583,24,55,0.9659,1611,19,11,0,30,0.6333,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
1732,2026,Hilltopper Robotics,USA,WI,win,2006,337.0,1.0,178.37,25.76,1858.0,1724.0,"[-0.86, 0.89]",178.37,45.73,105.52,27.12,0.7025,0.0126,-0.34005,178.37,45.97,-0.24,16.69,50.35,38.49,105.52,27.57,-0.44,179.05,-0.68,0.7025,0.0126,-0.34005,93.16,178.37,189.57,112,0.9699,3724,90,0.9694,2944,1,0.9859,71,1,0.9859,71,45,8,1,54,0.8426,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
1787,2026,The Flying Circuits,USA,OH,,2006,,,146.32,26.07,1773.0,1671.0,"[-0.79, 1.0]",146.32,32.57,77.62,36.12,0.4816,-0.0377,-0.33741,146.32,32.28,0.29,7.51,35.14,34.98,77.62,35.36,0.76,145.27,1.05,0.4816,-0.0377,-0.33741,75.6,146.32,148.17,222,0.9404,3724,186,0.9368,2944,5,0.9167,60,60,0.9628,1611,22,8,0,30,0.7333,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
